"mmsi","basedatetime","lat","lon","sog","cog","heading","vesselname","imo","callsign","vesseltype","status","length","width","draft","cargo","transceiverclass"
0,"2020-01-22 10:45:11",48.65099,-123.44715,0,290.8,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-30 00:58:01",18.4595,-66.09017,0,294,268,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
11,"2020-01-02 21:56:34",27.29231,-90.96781,0,251.9,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
9,"2020-01-18 08:53:49",47.55288,-122.63108,0.5,66.1,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
9,"2020-01-18 08:55:00",47.55292,-122.63083,0.5,71.2,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
12,"2020-01-14 12:44:18",29.54112,-90.12952,0.2,100.7,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
11,"2020-01-12 14:26:51",27.29226,-90.96792,0.6,27.2,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
0,"2020-01-22 10:46:21",48.65102,-123.44715,0,43.2,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
9,"2020-01-18 08:56:09",47.55298,-122.63058,0.5,75.3,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
0,"2020-01-30 01:01:01",18.4595,-66.09017,0,117,268,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
12,"2020-01-16 10:20:18",29.54308,-90.12983,0.1,347.8,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
12,"2020-01-12 14:29:19",29.54211,-90.12957,0.1,101.3,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
11,"2020-01-12 14:29:51",27.29227,-90.96784,0.6,357.8,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
8,"2020-01-28 03:49:01",47.54822,-122.64909,0.5,162.3,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-22 10:47:30",48.651,-123.44716,0,11.1,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
9,"2020-01-18 08:58:49",47.5532,-122.63015,0.5,59.5,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
8,"2020-01-28 03:50:13",47.54805,-122.64903,0.5,168.5,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
11,"2020-01-02 21:59:33",27.29226,-90.96789,0.1,277.6,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
12,"2020-01-14 12:47:21",29.54115,-90.12957,0.1,270.9,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
12,"2020-01-16 10:23:19",29.54311,-90.12985,0.1,236.6,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-28 03:51:22",47.54789,-122.64897,0.5,160.2,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
11,"2020-01-12 14:32:50",27.29225,-90.96798,0.3,16.1,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
0,"2020-01-22 10:48:51",48.65099,-123.44715,0,137.1,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
12,"2020-01-10 14:48:38",29.54244,-90.12955,0,142.9,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-26 06:45:00",47.54861,-122.64376,0.3,13.5,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-26 06:46:10",47.54874,-122.64367,0.4,29.3,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-06 16:43:26",29.55979,-90.13507,0,275.3,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
9,"2020-01-06 16:44:23",47.55397,-122.65436,0,268.2,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
8,"2020-01-28 03:52:32",47.54775,-122.64884,0.5,146.4,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 03:53:43",47.54758,-122.64871,0.6,164.1,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-22 10:50:00",48.65096,-123.44714,0,295.8,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-22 10:51:11",48.65101,-123.44714,0,68.4,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
12,"2020-01-16 10:26:19",29.54304,-90.12983,0.1,178.7,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
12,"2020-01-14 12:50:20",29.54115,-90.12947,0.1,68.5,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
9,"2020-01-18 08:59:51",47.55328,-122.62991,0.6,63.8,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
9,"2020-01-18 09:00:10",47.55331,-122.62983,0.5,61.5,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
12,"2020-01-10 14:51:40",29.54245,-90.12956,0,152.8,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
9,"2020-01-18 09:01:21",47.5534,-122.62957,0.6,63.5,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
8,"2020-01-26 06:50:10",47.54915,-122.64347,0.1,352,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-30 01:04:01",18.45953,-66.09008,0.1,101.4,268,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
0,"2020-01-22 10:52:12",48.651,-123.44714,0,189.9,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
11,"2020-01-14 12:51:06",27.29226,-90.96788,0,253.1,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
9,"2020-01-18 09:02:30",47.55346,-122.62929,0.6,75.1,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
9,"2020-01-18 09:03:39",47.55349,-122.62901,0.6,74.5,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
8,"2020-01-28 03:54:52",47.54739,-122.64867,0.4,172.3,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-16 10:29:18",29.54309,-90.12982,0.1,340.2,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
9,"2020-01-18 09:04:59",47.55357,-122.6287,0.5,57.5,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
12,"2020-01-08 17:15:01",29.55985,-90.13502,0,317.6,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-22 10:53:52",48.650978,-123.44714,0,204.2,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
8,"2020-01-28 03:56:01",47.54724,-122.6486,0.5,162.8,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
9,"2020-01-18 09:06:09",47.55367,-122.62846,0.5,60.2,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
0,"2020-01-30 01:07:02",18.45953,-66.09008,0,285.1,268,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
12,"2020-01-12 14:38:19",29.54211,-90.12949,0.2,76.8,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
9,"2020-01-18 09:07:29",47.55375,-122.62815,0.5,73.2,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
9,"2020-01-18 09:08:40",47.55381,-122.62789,0.5,72.6,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
8,"2020-01-26 06:52:10",47.54911,-122.6434,0.1,168.9,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-22 10:55:00",48.65102,-123.44715,0,35.8,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
8,"2020-01-28 03:57:13",47.54707,-122.64848,0.5,144,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-08 17:18:00",29.5598,-90.13503,0,288.8,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
9,"2020-01-18 09:10:19",47.55391,-122.6275,0.5,60.5,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
11,"2020-01-02 22:08:34",27.29231,-90.96786,0.1,269.8,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
8,"2020-01-26 06:54:10",47.54908,-122.64342,0.1,165.1,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-26 06:55:51",47.54905,-122.64353,0.2,238,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
9,"2020-01-06 16:45:53",47.55398,-122.65435,0,268.2,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
12,"2020-01-06 16:46:26",29.5598,-90.13504,0,261.2,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-28 03:58:22",47.54689,-122.64832,0.7,158.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-22 10:56:11",48.65099,-123.44716,0,62.4,108,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-22 10:57:20",48.65094,-123.44712,0,74.8,116,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
9,"2020-01-18 09:11:49",47.55401,-122.62718,0.6,67.5,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
12,"2020-01-14 13:02:21",29.54112,-90.12951,0.2,270.7,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
9,"2020-01-06 16:47:12",47.55399,-122.65435,0,268.2,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
9,"2020-01-06 16:48:23",47.55398,-122.65434,0.1,268.2,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
0,"2020-01-22 10:58:52",48.65096,-123.44721,0,356.2,120,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
12,"2020-01-12 14:44:20",29.54211,-90.12958,0.2,264.1,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-30 01:10:01",18.4595,-66.09,0,150,268,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
12,"2020-01-16 10:38:19",29.54307,-90.12985,0.2,238.1,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-22 11:00:11",48.65097,-123.44718,0,131,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
8,"2020-01-26 06:57:01",47.54901,-122.64355,0.2,206.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
11,"2020-01-14 13:03:06",27.29224,-90.96798,0.1,234,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
8,"2020-01-26 06:58:11",47.54895,-122.64352,0.3,171.4,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-26 06:59:21",47.54885,-122.64347,0.4,165.8,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-10 15:00:36",29.54244,-90.12954,0,149.6,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
9,"2020-01-06 16:49:33",47.55397,-122.65435,0,249.7,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
11,"2020-01-12 14:44:52",27.2923,-90.9679,0.3,6.3,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
11,"2020-01-01 05:29:22",27.29225,-90.96792,0,318.1,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
8,"2020-01-28 03:59:42",47.54665,-122.64825,0.5,174.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 04:00:01",47.5466,-122.64822,0.6,166.9,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
9,"2020-01-06 16:51:14",47.55397,-122.65435,0,249.7,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
11,"2020-01-02 22:14:34",27.29229,-90.96786,0,297.6,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
0,"2020-01-22 11:01:12",48.65096,-123.4472,0,5.1,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
12,"2020-01-08 17:24:00",29.55977,-90.13508,0,292.2,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-28 04:01:13",47.54643,-122.64814,0.5,158.2,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-12 14:47:18",29.54212,-90.1295,0.1,91.1,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
11,"2020-01-12 14:47:52",27.29231,-90.96785,0.2,12,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
8,"2020-01-26 07:00:01",47.54877,-122.64344,0.4,162.6,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-26 07:01:11",47.54868,-122.6434,0.3,190,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 04:02:22",47.54627,-122.64798,0.6,142.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 04:03:33",47.5461,-122.64778,0.7,150.2,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-30 01:13:02",18.45953,-66.09008,0,359.6,268,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
12,"2020-01-16 10:44:18",29.54309,-90.12985,0.1,240.7,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-28 04:04:42",47.5459,-122.64763,0.6,146,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-22 11:02:31",48.65099,-123.44719,0,301.1,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
12,"2020-01-06 16:52:27",29.55977,-90.13504,0,246.5,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
9,"2020-01-06 16:53:14",47.554,-122.65434,0.1,249.7,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
12,"2020-01-08 17:27:04",29.55983,-90.13499,0,300.1,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-22 11:03:42",48.65095,-123.44714,0,290.3,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-22 11:04:52",48.65095,-123.44715,0,279.1,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
11,"2020-01-24 13:56:27",27.2923,-90.96789,0.2,155.1,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
8,"2020-01-26 07:02:21",47.54868,-122.64364,0.6,291.2,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-26 07:03:31",47.54877,-122.64389,0.5,311.6,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
9,"2020-01-06 16:54:24",47.55398,-122.65433,0.1,249.7,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
12,"2020-01-06 16:55:27",29.55975,-90.13512,0,247.1,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
9,"2020-01-18 09:13:19",47.55409,-122.62677,1.2,50.3,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
8,"2020-01-26 07:04:41",47.54889,-122.64402,0.4,324.3,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-12 14:50:19",29.54211,-90.12956,0.2,257.5,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-22 11:06:10",48.65096,-123.44695,0.1,32.3,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
8,"2020-01-28 04:05:53",47.54575,-122.64743,0.6,131.3,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-30 01:16:02",18.45952,-66.09008,0,93.6,268,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
